GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds,Team1_SideFirstHalf,Team2_SideFirstHalf,Team1_RoundsFirstHalf,Team1_RoundsSecondtHalf,Team1_RoundsOT,Team2_RoundsFirstHalf,Team2_RoundsSecondtHalf,Team2_RoundsOT,Team1_PistolWon,Team1_Eco,Team1_EcoWon,Team1_SemiEco,Team1_SemiEcoWon,Team1_SemiBuy,Team1_SemiBuyWon,Team1_FullBuy,Team1_FullBuyWon,Team2_PistolWon,Team2_Eco,Team2_EcoWon,Team2_SemiEco,Team2_SemiEcoWon,Team2_SemiBuy,Team2_SemiBuyWon,Team2_FullBuy,Team2_FullBuyWon
12381,7384,Ascent,2090,2088,Team vakk,Team ONSCREEN,Team vakk,13,8,attack,defend,6,7,0,6,2,0,2.0,2.0,2.0,2.0,0.0,5.0,4.0,12.0,7.0,0.0,4.0,0.0,3.0,1.0,2.0,1.0,12.0,6.0
12382,7385,Bind,2087,2092,Team cNed,Team nookyyy,Team cNed,13,3,defend,attack,10,3,0,2,1,0,2.0,2.0,2.0,1.0,1.0,8.0,7.0,5.0,3.0,0.0,2.0,0.0,5.0,1.0,3.0,1.0,6.0,1.0
13428,7991,Ascent,2196,2195,NOT SNP,Borderline,NOT SNP,13,6,defend,attack,8,5,0,4,2,0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,14.0,12.0,1.0,2.0,1.0,2.0,0.0,9.0,4.0,6.0,1.0
13429,7991,Split,2196,2195,NOT SNP,Borderline,NOT SNP,13,7,attack,defend,7,6,0,5,2,0,2.0,2.0,2.0,0.0,0.0,7.0,4.0,11.0,7.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,11.0,6.0
12253,7288,Ascent,472,1456,BIG,PENTA,BIG,13,6,defend,attack,9,4,0,3,3,0,1.0,3.0,1.0,0.0,0.0,6.0,5.0,10.0,7.0,1.0,3.0,1.0,3.0,1.0,4.0,2.0,9.0,2.0
12371,7374,Split,2085,2087,Team Fearoth,Team cNed,Team Fearoth,13,7,defend,attack,6,7,0,6,1,0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,12.0,7.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,10.0,4.0
12373,7376,Haven,2094,2095,Team ardiis,Team AsLanM4shadoW,Team ardiis,13,11,defend,attack,4,9,0,8,3,0,2.0,2.0,2.0,2.0,0.0,7.0,4.0,13.0,7.0,0.0,4.0,0.0,2.0,0.0,4.0,3.0,14.0,8.0
12701,7602,Icebox,2125,2035,PffxD,ehehxd,PffxD,14,12,attack,defend,6,6,2,6,6,0,1.0,3.0,1.0,1.0,0.0,5.0,4.0,17.0,9.0,1.0,3.0,1.0,3.0,0.0,3.0,2.0,17.0,9.0
13425,7990,Ascent,2194,2192,Lethal Grinders,Elite,Lethal Grinders,13,8,defend,attack,10,3,0,2,6,0,1.0,3.0,1.0,1.0,0.0,3.0,1.0,14.0,11.0,1.0,4.0,1.0,2.0,0.0,3.0,2.0,12.0,5.0
13426,7990,Split,2194,2192,Lethal Grinders,Elite,Lethal Grinders,13,6,defend,attack,8,5,0,4,2,0,2.0,2.0,2.0,1.0,1.0,5.0,3.0,11.0,7.0,0.0,3.0,0.0,3.0,0.0,5.0,3.0,8.0,3.0
12294,7315,Split,1341,4538,Team Singularity,Team Queso,Team Singularity,13,2,attack,defend,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,8.0,7.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,7.0,2.0
12295,7315,Ascent,1341,4538,Team Singularity,Team Queso,Team Singularity,13,5,defend,attack,9,4,0,3,2,0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,12.0,8.0,1.0,4.0,1.0,3.0,0.0,2.0,1.0,9.0,3.0
12172,7222,Split,879,1106,Todak,Overtime Esports,Overtime Esports,7,13,attack,defend,3,4,0,9,4,0,1.0,4.0,1.0,1.0,0.0,9.0,4.0,6.0,2.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,13.0,9.0
12173,7222,Bind,879,1106,Todak,Overtime Esports,Todak,13,10,attack,defend,9,4,0,3,7,0,1.0,5.0,1.0,0.0,0.0,4.0,3.0,14.0,9.0,1.0,3.0,1.0,1.0,0.0,7.0,3.0,12.0,6.0
12174,7222,Haven,879,1106,Todak,Overtime Esports,Overtime Esports,10,13,defend,attack,5,5,0,7,6,0,0.0,4.0,0.0,1.0,0.0,4.0,4.0,14.0,6.0,2.0,2.0,2.0,3.0,1.0,6.0,3.0,12.0,7.0
12945,7746,Icebox,1920,2142,Las Venturas,EZPZ,Las Venturas,13,3,attack,defend,9,4,0,3,0,0,1.0,2.0,1.0,0.0,0.0,4.0,4.0,10.0,8.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,6.0,1.0
12946,7746,Bind,1920,2142,Las Venturas,EZPZ,Las Venturas,13,9,defend,attack,8,5,0,4,5,0,1.0,3.0,1.0,1.0,0.0,4.0,3.0,14.0,9.0,1.0,3.0,1.0,2.0,1.0,8.0,5.0,9.0,2.0
12163,7219,Haven,1934,497,ArkAngel,Attack All Around,Attack All Around,9,13,attack,defend,6,3,0,6,7,0,0.0,5.0,1.0,3.0,0.0,3.0,0.0,11.0,8.0,2.0,2.0,2.0,0.0,0.0,7.0,2.0,13.0,9.0
12164,7219,Ascent,1934,497,ArkAngel,Attack All Around,ArkAngel,13,8,attack,defend,9,4,0,3,5,0,2.0,2.0,2.0,2.0,0.0,4.0,2.0,13.0,9.0,0.0,3.0,0.0,3.0,1.0,4.0,3.0,11.0,4.0
12165,7219,Bind,1934,497,ArkAngel,Attack All Around,Attack All Around,8,13,defend,attack,8,0,0,4,9,0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,13.0,6.0,1.0,3.0,1.0,2.0,0.0,3.0,2.0,13.0,10.0
11536,6895,Haven,50,1001,need more DM,Team Heretics,Team Heretics,5,13,defend,attack,4,1,0,8,5,0,1.0,4.0,1.0,1.0,0.0,5.0,1.0,8.0,3.0,1.0,3.0,1.0,0.0,0.0,4.0,3.0,11.0,9.0
11537,6895,Ascent,50,1001,need more DM,Team Heretics,need more DM,13,9,attack,defend,6,7,0,6,3,0,1.0,3.0,1.0,0.0,0.0,5.0,2.0,14.0,10.0,1.0,3.0,1.0,2.0,1.0,6.0,3.0,11.0,4.0
11538,6895,Split,50,1001,need more DM,Team Heretics,Team Heretics,3,13,attack,defend,2,1,0,10,3,0,1.0,3.0,1.0,1.0,0.0,9.0,1.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,10.0,9.0
11533,6894,Ascent,1001,547,Team Heretics,ex-Giants Gaming,Team Heretics,13,7,attack,defend,6,7,0,6,1,0,1.0,2.0,1.0,0.0,0.0,9.0,8.0,9.0,4.0,1.0,3.0,1.0,2.0,0.0,7.0,2.0,8.0,4.0
11534,6894,Bind,1001,547,Team Heretics,ex-Giants Gaming,Team Heretics,13,10,defend,attack,5,8,0,7,3,0,2.0,2.0,2.0,3.0,1.0,5.0,4.0,13.0,6.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,16.0,9.0
13404,7983,Ascent,1466,2192,Anubis Gaming,Elite,Anubis Gaming,13,1,attack,defend,12,1,0,0,1,0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,9.0,9.0,1.0,3.0,1.0,2.0,0.0,7.0,0.0,2.0,0.0
13405,7983,Split,1466,2192,Anubis Gaming,Elite,Anubis Gaming,13,5,attack,defend,9,4,0,3,2,0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,13.0,11.0,2.0,2.0,2.0,2.0,0.0,8.0,2.0,6.0,1.0
13407,7984,Ascent,2193,2194,UnSigned,Lethal Grinders,UnSigned,13,8,defend,attack,8,5,0,4,4,0,1.0,3.0,1.0,1.0,0.0,3.0,2.0,14.0,10.0,1.0,3.0,1.0,2.0,0.0,6.0,4.0,10.0,3.0
13408,7984,Split,2193,2194,UnSigned,Lethal Grinders,UnSigned,13,5,attack,defend,8,5,0,4,1,0,2.0,2.0,2.0,0.0,0.0,6.0,6.0,10.0,5.0,0.0,3.0,0.0,2.0,1.0,9.0,3.0,4.0,1.0
11530,6893,Haven,50,673,need more DM,Team Finest,need more DM,14,12,defend,attack,6,6,2,6,6,0,1.0,3.0,1.0,1.0,0.0,4.0,3.0,18.0,10.0,1.0,3.0,1.0,2.0,0.0,4.0,2.0,17.0,9.0
11531,6893,Ascent,50,673,need more DM,Team Finest,need more DM,13,6,attack,defend,7,6,0,5,1,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,14.0,11.0,2.0,3.0,2.0,3.0,0.0,7.0,3.0,6.0,1.0
12934,7743,Split,1919,879,Kingsmen,Todak,Kingsmen,13,11,defend,attack,8,5,0,4,7,0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,14.0,7.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,15.0,6.0
12935,7743,Ascent,1919,879,Kingsmen,Todak,Todak,8,13,attack,defend,4,4,0,8,5,0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,13.0,7.0,1.0,3.0,1.0,0.0,0.0,8.0,7.0,10.0,5.0
12936,7743,Bind,1919,879,Kingsmen,Todak,Todak,0,13,defend,attack,0,0,0,12,1,0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,9.0,9.0
12219,7248,Bind,516,277,FAV gaming,Crazy Raccoon,FAV gaming,13,7,attack,defend,8,5,0,4,3,0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,14.0,11.0,1.0,3.0,1.0,1.0,0.0,7.0,2.0,9.0,4.0
12220,7248,Ascent,516,277,FAV gaming,Crazy Raccoon,Crazy Raccoon,5,13,defend,attack,4,1,0,8,5,0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,9.0,4.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,13.0,8.0
12221,7248,Icebox,516,277,FAV gaming,Crazy Raccoon,FAV gaming,13,8,defend,attack,8,5,0,4,4,0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,14.0,9.0,1.0,3.0,1.0,0.0,0.0,7.0,2.0,11.0,5.0
12757,7644,Ascent,726,729,MeT,TopHard Esports,MeT,13,7,attack,defend,9,4,0,3,4,0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,14.0,9.0,1.0,3.0,1.0,3.0,1.0,7.0,4.0,7.0,1.0
12763,7644,Split,726,729,MeT,TopHard Esports,TopHard Esports,7,13,defend,attack,6,1,0,6,7,0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,12.0,3.0,1.0,3.0,1.0,1.0,0.0,3.0,3.0,13.0,9.0
12756,7643,Haven,363,726,Infinity Esports,MeT,MeT,11,13,attack,defend,8,3,0,4,9,0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,16.0,9.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,16.0,11.0
12762,7643,Ascent,363,726,Infinity Esports,MeT,Infinity Esports,13,7,defend,attack,6,7,0,6,1,0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,14.0,10.0,1.0,4.0,1.0,1.0,0.0,4.0,1.0,11.0,5.0
11524,6891,Ascent,1001,548,Team Heretics,Wygers,Team Heretics,13,0,attack,defend,12,1,0,0,0,0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,8.0,8.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0
11525,6891,Bind,1001,548,Team Heretics,Wygers,Team Heretics,13,6,defend,attack,9,4,0,3,3,0,1.0,3.0,1.0,0.0,0.0,5.0,4.0,11.0,8.0,1.0,3.0,1.0,1.0,0.0,6.0,3.0,9.0,2.0
11518,6889,Haven,1342,50,Axsor,need more DM,need more DM,7,13,attack,defend,4,3,0,8,5,0,0.0,3.0,0.0,2.0,0.0,6.0,3.0,9.0,4.0,2.0,2.0,2.0,0.0,0.0,6.0,4.0,12.0,7.0
11519,6889,Ascent,1342,50,Axsor,need more DM,Axsor,13,11,attack,defend,4,9,0,8,3,0,1.0,2.0,1.0,3.0,1.0,7.0,5.0,12.0,6.0,1.0,3.0,1.0,1.0,1.0,9.0,4.0,11.0,5.0
11520,6889,Split,1342,50,Axsor,need more DM,need more DM,7,13,attack,defend,2,5,0,10,3,0,0.0,2.0,0.0,4.0,2.0,5.0,2.0,9.0,3.0,2.0,3.0,2.0,0.0,0.0,7.0,4.0,10.0,7.0
12216,7247,Haven,277,1732,Crazy Raccoon,Novagis Gaming,Novagis Gaming,13,15,attack,defend,9,3,1,3,9,3,0.0,4.0,0.0,2.0,0.0,2.0,1.0,20.0,12.0,2.0,4.0,2.0,1.0,0.0,5.0,3.0,18.0,10.0
12217,7247,Ascent,277,1732,Crazy Raccoon,Novagis Gaming,Crazy Raccoon,13,4,defend,attack,9,4,0,3,1,0,2.0,2.0,2.0,0.0,0.0,4.0,2.0,11.0,9.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,10.0,3.0
12218,7247,Bind,277,1732,Crazy Raccoon,Novagis Gaming,Crazy Raccoon,13,2,attack,defend,10,3,0,2,0,0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,9.0,7.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,7.0,2.0
12769,7648,Bind,652,777,Tek Gaming,Kaizen Esports,Kaizen Esports,11,13,attack,defend,8,3,0,4,9,0,1.0,2.0,1.0,3.0,0.0,4.0,3.0,15.0,7.0,1.0,3.0,1.0,2.0,1.0,4.0,3.0,15.0,8.0
12770,7648,Split,652,777,Tek Gaming,Kaizen Esports,Tek Gaming,13,3,defend,attack,11,2,0,1,2,0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,9.0,8.0,0.0,3.0,0.0,2.0,0.0,6.0,2.0,5.0,1.0
12160,7218,Ascent,1791,1253,FTW Esports,Eazy One Gaming,FTW Esports,13,8,attack,defend,8,5,0,4,4,0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,12.0,7.0,1.0,3.0,1.0,1.0,0.0,4.0,2.0,13.0,5.0
