Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Sentinels,2,Shopify Rebellion,0,2 Fracture,TenZ,210,25,/ 19 /,1,69%,134
The Guard,2,Sentinels,1,1 Breeze,TenZ,181,19,/ 22 /,2,64%,121
The Guard,2,Sentinels,1,2 Ascent,TenZ,222,19,/ 17 /,2,74%,148
The Guard,2,Sentinels,1,3 Icebox,TenZ,211,22,/ 22 /,3,71%,131
Cloud9,2,Sentinels,0,1 Haven,TenZ,58,2,/ 15 /,3,47%,42
Cloud9,2,Sentinels,0,2 Ascent,TenZ,146,9,/ 19 /,5,60%,96
FaZe Clan,2,Sentinels,0,1 Fracture,TenZ,197,16,/ 19 /,2,50%,121
FaZe Clan,2,Sentinels,0,2 Haven,TenZ,248,26,/ 21 /,5,67%,152
Evil Geniuses,2,Sentinels,0,1 Ascent,TenZ,159,13,/ 21 /,4,67%,103
Evil Geniuses,2,Sentinels,0,2 Icebox,TenZ,227,17,/ 20 /,2,78%,151
Luminosity,2,Sentinels,1,1 Bind,TenZ,312,26,/ 17 /,3,67%,184
Luminosity,2,Sentinels,1,2 Breeze,TenZ,384,40,/ 21 /,6,63%,223
Luminosity,2,Sentinels,1,3 Fracture,TenZ,152,9,/ 15 /,3,53%,107
Sentinels,2,Akrew,0,1 Haven,TenZ,291,15,/ 7 /,3,86%,180
Sentinels,2,Akrew,0,2 Icebox,TenZ,349,27,/ 15 /,3,86%,228
Sentinels,2,SoaR,0,1 Haven,TenZ,207,16,/ 11 /,2,74%,137
Sentinels,2,SoaR,0,2 Bind,TenZ,277,21,/ 13 /,2,67%,172
Sentinels,2,DarkZero Esports,0,1 Haven,TenZ,319,16,/ 9 /,5,87%,201
Sentinels,2,DarkZero Esports,0,2 Breeze,TenZ,273,24,/ 14 /,3,78%,176
Sentinels,2,Cosmic Divide,0,1 Icebox,TenZ,287,18,/ 15 /,6,74%,202
Sentinels,2,Cosmic Divide,0,2 Bind,TenZ,212,19,/ 15 /,2,83%,144
Sentinels,2,PUGSTARS,0,1 Icebox,TenZ,310,21,/ 15 /,7,90%,198
Sentinels,2,PUGSTARS,0,2 Bind,TenZ,337,20,/ 10 /,3,94%,220
Akrew,2,Sentinels,0,1 Icebox,TenZ,254,19,/ 21 /,4,65%,164
