Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Lotus,TenZ,207,14,/ 8 /,11,83%,133
Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Bind,TenZ,240,15,/ 14 /,5,63%,174
Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,3 Split,TenZ,199,14,/ 14 /,10,71%,134
Sentinels,LOUD,LOUD,2,Sentinels,0,1 Split,TenZ,234,19,/ 16 /,6,67%,151
Sentinels,LOUD,LOUD,2,Sentinels,0,2 Ascent,TenZ,109,7,/ 12 /,15,73%,78
Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,1 Bind,TenZ,405,21,/ 9 /,9,93%,265
Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,2 Breeze,TenZ,295,14,/ 13 /,1,57%,205
Team Ludwig,Team Tarik,Team Ludwig,2,Team Tarik,1,3 Lotus,TenZ,443,35,/ 14 /,8,78%,282
Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,1 Split,TenZ,163,11,/ 14 /,10,80%,103
Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,2 Sunset,TenZ,231,17,/ 19 /,13,78%,145
Sentinels,Paper Rex,Sentinels,3,Paper Rex,0,3 Breeze,TenZ,286,20,/ 12 /,14,95%,178
Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,1 Split,TenZ,227,18,/ 12 /,12,86%,158
Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,2 Haven,TenZ,114,7,/ 15 /,7,56%,89
Sentinels,Team Liquid,Sentinels,2,Team Liquid,1,3 Sunset,TenZ,246,17,/ 10 /,3,72%,169
Sentinels,DRX,Sentinels,2,DRX,0,1 Bind,TenZ,230,15,/ 19 /,14,81%,145
Sentinels,DRX,Sentinels,2,DRX,0,2 Split,TenZ,312,32,/ 18 /,9,79%,210
Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,1 Breeze,TenZ,197,13,/ 13 /,15,90%,123
Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,2 Sunset,TenZ,149,10,/ 18 /,5,55%,107
Sentinels,Paper Rex,Sentinels,2,Paper Rex,1,3 Haven,TenZ,220,23,/ 18 /,13,68%,147
Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,1 Fracture,TenZ,281,22,/ 19 /,5,67%,179
Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,2 Pearl,TenZ,392,25,/ 5 /,0,94%,226
Sentinels,Tarik's Allstars,Sentinels,2,Tarik's Allstars,1,3 Icebox,TenZ,196,19,/ 25 /,8,64%,127
Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,1 Ascent,TenZ,203,16,/ 19 /,12,75%,133
Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,2 Sunset,TenZ,205,18,/ 14 /,10,65%,142
Sentinels,Oxygen Esports,Sentinels,2,Oxygen Esports,1,3 Breeze,TenZ,222,21,/ 16 /,13,75%,136
Sentinels,G2 Esports,Sentinels,2,G2 Esports,0,1 Sunset,TenZ,214,24,/ 17 /,10,77%,146
Sentinels,G2 Esports,Sentinels,2,G2 Esports,0,2 Haven,TenZ,184,12,/ 13 /,12,84%,130
Sentinels,Moist x Shopify,Sentinels,2,Moist x Shopify,1,1 Sunset,TenZ,230,18,/ 13 /,11,76%,146
Sentinels,Moist x Shopify,Sentinels,2,Moist x Shopify,1,2 Haven,TenZ,148,11,/ 14 /,7,52%,91
Sentinels,Moist x Shopify,Sentinels,2,Moist x Shopify,1,3 Split,TenZ,240,23,/ 16 /,11,77%,164
Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,1 Sunset,TenZ,204,18,/ 18 /,9,75%,132
Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,2 Bind,TenZ,155,11,/ 12 /,6,65%,112
Sentinels,G2 Esports,Sentinels,2,G2 Esports,1,3 Ascent,TenZ,209,14,/ 14 /,11,65%,139
Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,1 Bind,TenZ,278,15,/ 8 /,4,93%,191
Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,2 Ascent,TenZ,249,17,/ 17 /,11,71%,161
Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,3 Haven,TenZ,227,15,/ 14 /,6,72%,172
Sentinels,Leviatán,Leviatán,2,Sentinels,0,1 Fracture,TenZ,240,17,/ 15 /,8,76%,152
Sentinels,Leviatán,Leviatán,2,Sentinels,0,2 Split,TenZ,177,10,/ 15 /,3,47%,118
Sentinels,Cloud9,Cloud9,2,Sentinels,1,1 Pearl,TenZ,184,11,/ 19 /,20,71%,122
Sentinels,Cloud9,Cloud9,2,Sentinels,1,2 Fracture,TenZ,215,13,/ 12 /,14,94%,125
Sentinels,Cloud9,Cloud9,2,Sentinels,1,3 Split,TenZ,198,14,/ 17 /,6,71%,119
Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Pearl,TenZ,212,19,/ 20 /,14,69%,129
Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Split,TenZ,236,17,/ 14 /,6,75%,144
