Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
yoru,Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,1 Bind,TenZ,278,15,/ 8 /,4,93%,191
kayo,Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,2 Ascent,TenZ,249,17,/ 17 /,11,71%,161
harbor,Sentinels,Moist x Shopify,Moist x Shopify,2,Sentinels,1,3 Haven,TenZ,227,15,/ 14 /,6,72%,172
kayo,Sentinels,Leviatán,Leviatán,2,Sentinels,0,1 Fracture,TenZ,240,17,/ 15 /,8,76%,152
jett,Sentinels,Leviatán,Leviatán,2,Sentinels,0,2 Split,TenZ,177,10,/ 15 /,3,47%,118
kayo,Sentinels,Cloud9,Cloud9,2,Sentinels,1,1 Pearl,TenZ,184,11,/ 19 /,20,71%,122
kayo,Sentinels,Cloud9,Cloud9,2,Sentinels,1,2 Fracture,TenZ,215,13,/ 12 /,14,94%,125
jett,Sentinels,Cloud9,Cloud9,2,Sentinels,1,3 Split,TenZ,198,14,/ 17 /,6,71%,119
kayo,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Pearl,TenZ,212,19,/ 20 /,14,69%,129
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Split,TenZ,236,17,/ 14 /,6,75%,144
yoru,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,3 Bind,TenZ,259,19,/ 13 /,5,75%,162
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,1 Split,TenZ,284,21,/ 13 /,4,70%,178
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,2 Haven,TenZ,252,15,/ 14 /,6,89%,166
jett,Sentinels,FURIA,Sentinels,2,FURIA,1,3 Bind,TenZ,212,25,/ 26 /,8,64%,144
neon,Sentinels,KRÜ Esports,Sentinels,2,KRÜ Esports,0,1 Lotus,TenZ,208,16,/ 18 /,9,65%,140
jett,Sentinels,KRÜ Esports,Sentinels,2,KRÜ Esports,0,2 Bind,TenZ,225,18,/ 17 /,8,74%,152
sage,Sentinels,Leviatán,Leviatán,2,Sentinels,1,1 Split,TenZ,199,18,/ 18 /,5,65%,136
jett,Sentinels,Leviatán,Leviatán,2,Sentinels,1,2 Ascent,TenZ,130,9,/ 18 /,7,63%,98
jett,Sentinels,Leviatán,Leviatán,2,Sentinels,1,3 Pearl,TenZ,118,8,/ 13 /,2,47%,76
jett,Sentinels,NRG Esports,NRG Esports,2,Sentinels,0,1 Lotus,TenZ,111,8,/ 16 /,5,57%,76
jett,Sentinels,NRG Esports,NRG Esports,2,Sentinels,0,2 Icebox,TenZ,113,5,/ 14 /,2,47%,96
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,1 Fracture,TenZ,277,25,/ 15 /,3,75%,170
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,2 Split,TenZ,242,20,/ 21 /,5,65%,162
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,1,3 Ascent,TenZ,239,23,/ 14 /,3,81%,140
jett,Sentinels,FNATIC,FNATIC,2,Sentinels,0,1 Haven,TenZ,193,14,/ 13 /,3,63%,125
sage,Sentinels,FNATIC,FNATIC,2,Sentinels,0,2 Split,TenZ,174,12,/ 14 /,5,60%,120
kayo,Sentinels,TSM,TSM,2,Sentinels,0,1 Fracture,TenZ,224,17,/ 16 /,9,68%,141
kayo,Sentinels,TSM,TSM,2,Sentinels,0,2 Icebox,TenZ,220,13,/ 17 /,13,68%,152
kayo,Sentinels,TSM,Sentinels,2,TSM,0,1 Fracture,TenZ,251,16,/ 15 /,25,90%,153
jett,Sentinels,TSM,Sentinels,2,TSM,0,2 Pearl,TenZ,386,32,/ 8 /,5,95%,236
chamber,Sentinels,100 Thieves,100 Thieves,2,Sentinels,1,1 Fracture,TenZ,267,29,/ 23 /,3,75%,172
chamber,Sentinels,100 Thieves,100 Thieves,2,Sentinels,1,2 Breeze,TenZ,245,18,/ 13 /,3,65%,166
chamber,Sentinels,100 Thieves,100 Thieves,2,Sentinels,1,3 Haven,TenZ,310,26,/ 17 /,3,63%,188
chamber,Sentinels,Shopify Rebellion,Sentinels,2,Shopify Rebellion,0,1 Breeze,TenZ,191,16,/ 12 /,5,76%,125
chamber,Sentinels,Shopify Rebellion,Sentinels,2,Shopify Rebellion,0,2 Fracture,TenZ,210,25,/ 19 /,1,69%,134
chamber,Sentinels,The Guard,The Guard,2,Sentinels,1,1 Breeze,TenZ,181,19,/ 22 /,2,64%,121
chamber,Sentinels,The Guard,The Guard,2,Sentinels,1,2 Ascent,TenZ,222,19,/ 17 /,2,74%,148
chamber,Sentinels,The Guard,The Guard,2,Sentinels,1,3 Icebox,TenZ,211,22,/ 22 /,3,71%,131
jett,Sentinels,Cloud9,Cloud9,2,Sentinels,0,1 Haven,TenZ,58,2,/ 15 /,3,47%,42
jett,Sentinels,Cloud9,Cloud9,2,Sentinels,0,2 Ascent,TenZ,146,9,/ 19 /,5,60%,96
yoru,Sentinels,FaZe Clan,FaZe Clan,2,Sentinels,0,1 Fracture,TenZ,197,16,/ 19 /,2,50%,121
jett,Sentinels,FaZe Clan,FaZe Clan,2,Sentinels,0,2 Haven,TenZ,248,26,/ 21 /,5,67%,152
jett,Sentinels,Evil Geniuses,Evil Geniuses,2,Sentinels,0,1 Ascent,TenZ,159,13,/ 21 /,4,67%,103
jett,Sentinels,Evil Geniuses,Evil Geniuses,2,Sentinels,0,2 Icebox,TenZ,227,17,/ 20 /,2,78%,151
jett,Sentinels,Luminosity,Luminosity,2,Sentinels,1,1 Bind,TenZ,312,26,/ 17 /,3,67%,184
jett,Sentinels,Luminosity,Luminosity,2,Sentinels,1,2 Breeze,TenZ,384,40,/ 21 /,6,63%,223
raze,Sentinels,Luminosity,Luminosity,2,Sentinels,1,3 Fracture,TenZ,152,9,/ 15 /,3,53%,107
jett,Sentinels,Akrew,Sentinels,2,Akrew,0,1 Haven,TenZ,291,15,/ 7 /,3,86%,180
jett,Sentinels,Akrew,Sentinels,2,Akrew,0,2 Icebox,TenZ,349,27,/ 15 /,3,86%,228
jett,Sentinels,SoaR,Sentinels,2,SoaR,0,1 Haven,TenZ,207,16,/ 11 /,2,74%,137
jett,Sentinels,SoaR,Sentinels,2,SoaR,0,2 Bind,TenZ,277,21,/ 13 /,2,67%,172
jett,Sentinels,DarkZero Esports,Sentinels,2,DarkZero Esports,0,1 Haven,TenZ,319,16,/ 9 /,5,87%,201
jett,Sentinels,DarkZero Esports,Sentinels,2,DarkZero Esports,0,2 Breeze,TenZ,273,24,/ 14 /,3,78%,176
jett,Sentinels,Cosmic Divide,Sentinels,2,Cosmic Divide,0,1 Icebox,TenZ,287,18,/ 15 /,6,74%,202
jett,Sentinels,Cosmic Divide,Sentinels,2,Cosmic Divide,0,2 Bind,TenZ,212,19,/ 15 /,2,83%,144
jett,Sentinels,PUGSTARS,Sentinels,2,PUGSTARS,0,1 Icebox,TenZ,310,21,/ 15 /,7,90%,198
jett,Sentinels,PUGSTARS,Sentinels,2,PUGSTARS,0,2 Bind,TenZ,337,20,/ 10 /,3,94%,220
jett,Sentinels,Akrew,Akrew,2,Sentinels,0,1 Icebox,TenZ,254,19,/ 21 /,4,65%,164
jett,Sentinels,Akrew,Akrew,2,Sentinels,0,2 Bind,TenZ,235,23,/ 18 /,6,68%,157
jett,Sentinels,Clanless,Sentinels,2,Clanless,0,1 Ascent,TenZ,281,22,/ 15 /,5,73%,180
jett,Sentinels,Clanless,Sentinels,2,Clanless,0,2 Bind,TenZ,269,20,/ 11 /,4,85%,180
jett,Sentinels,Luminosity,Luminosity,2,Sentinels,1,1 Bind,TenZ,210,17,/ 15 /,4,65%,129
raze,Sentinels,Luminosity,Luminosity,2,Sentinels,1,2 Fracture,TenZ,324,27,/ 17 /,6,78%,193
raze,Sentinels,Luminosity,Luminosity,2,Sentinels,1,3 Split,TenZ,319,19,/ 16 /,4,68%,194
raze,Sentinels,NYFU,Sentinels,2,NYFU,1,1 Split,TenZ,189,14,/ 16 /,7,61%,133
jett,Sentinels,NYFU,Sentinels,2,NYFU,1,2 Haven,TenZ,386,24,/ 9 /,3,82%,265
jett,Sentinels,NYFU,Sentinels,2,NYFU,1,3 Bind,TenZ,237,18,/ 17 /,8,78%,164
jett,Sentinels,FaZe Clan,FaZe Clan,2,Sentinels,1,1 Ascent,TenZ,268,18,/ 16 /,5,75%,171
jett,Sentinels,FaZe Clan,FaZe Clan,2,Sentinels,1,2 Bind,TenZ,299,21,/ 12 /,4,95%,187
jett,Sentinels,FaZe Clan,FaZe Clan,2,Sentinels,1,3 Haven,TenZ,304,24,/ 19 /,12,79%,194
raze,Sentinels,Akrew,Sentinels,2,Akrew,1,1 Split,TenZ,166,8,/ 15 /,4,72%,114
jett,Sentinels,Akrew,Sentinels,2,Akrew,1,2 Bind,TenZ,291,20,/ 13 /,5,80%,176
jett,Sentinels,Akrew,Sentinels,2,Akrew,1,3 Ascent,TenZ,254,23,/ 19 /,2,74%,144
jett,Sentinels,PUGSTARS,Sentinels,2,PUGSTARS,0,1 Ascent,TenZ,246,14,/ 7 /,1,86%,156
jett,Sentinels,PUGSTARS,Sentinels,2,PUGSTARS,0,2 Bind,TenZ,236,15,/ 11 /,7,72%,172
jett,Sentinels,Version1,Version1,2,Sentinels,1,1 Haven,TenZ,413,31,/ 9 /,2,80%,259
jett,Sentinels,Version1,Version1,2,Sentinels,1,2 Ascent,TenZ,196,14,/ 18 /,6,50%,126
