Agent,Player team,Opposite team,Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
jett,Sentinels,Andbox,Sentinels,2,Andbox,1,2 Ascent,TenZ,152,8,/ 15 /,4,41%,92
reyna,Sentinels,Andbox,Sentinels,2,Andbox,1,3 Split,TenZ,423,30,/ 10 /,6,79%,228
jett,Sentinels,Immortals,Sentinels,2,Immortals,0,1 Haven,TenZ,322,30,/ 16 /,5,77%,175
jett,Sentinels,Immortals,Sentinels,2,Immortals,0,2 Ascent,TenZ,238,15,/ 13 /,6,79%,142
jett,Sentinels,T1,Sentinels,2,T1,1,1 Haven,TenZ,,17,/ 19 /,2,,
raze,Sentinels,T1,Sentinels,2,T1,1,2 Split,TenZ,272,19,/ 17 /,7,87%,166
raze,Sentinels,T1,Sentinels,2,T1,1,3 Icebox,TenZ,198,13,/ 18 /,9,74%,134
jett,Sentinels,Andbox,Andbox,2,Sentinels,0,1 Haven,TenZ,342,32,/ 20 /,8,68%,199
raze,Sentinels,Andbox,Andbox,2,Sentinels,0,2 Split,TenZ,182,13,/ 21 /,5,58%,130
jett,Sentinels,Noble,Sentinels,2,Noble,0,1 Haven,TenZ,268,19,/ 15 /,3,79%,172
jett,Sentinels,Noble,Sentinels,2,Noble,0,2 Ascent,TenZ,257,19,/ 14 /,5,80%,162
jett,Sentinels,Rise,Sentinels,2,Rise,0,1 Ascent,TenZ,209,14,/ 8 /,2,69%,112
jett,Sentinels,Rise,Sentinels,2,Rise,0,2 Haven,TenZ,198,14,/ 14 /,6,73%,135
jett,Sentinels,Grapefruit Techniques,Sentinels,2,Grapefruit Techniques,0,1 Ascent,TenZ,288,17,/ 9 /,3,80%,157
reyna,Sentinels,Grapefruit Techniques,Sentinels,2,Grapefruit Techniques,0,2 Icebox,TenZ,299,20,/ 14 /,6,75%,160
jett,Sentinels,Neebs and Weebs,Sentinels,2,Neebs and Weebs,0,1 Haven,TenZ,247,14,/ 7 /,2,87%,173
reyna,Sentinels,Neebs and Weebs,Sentinels,2,Neebs and Weebs,0,2 Split,TenZ,364,26,/ 9 /,6,84%,212
jett,Sentinels,Valkyrie,Sentinels,2,Valkyrie,0,1 Haven,TenZ,368,20,/ 5 /,6,93%,205
reyna,Sentinels,Valkyrie,Sentinels,2,Valkyrie,0,2 Icebox,TenZ,328,19,/ 12 /,6,78%,195
jett,Sentinels,Built By Gamers,Built By Gamers,2,Sentinels,0,1 Ascent,TenZ,172,10,/ 15 /,0,44%,107
jett,Sentinels,Built By Gamers,Built By Gamers,2,Sentinels,0,2 Haven,TenZ,189,11,/ 16 /,3,72%,100
reyna,Sentinels,Soniqs,Sentinels,2,Soniqs,0,1 Icebox,TenZ,213,13,/ 22 /,10,70%,142
reyna,Sentinels,Soniqs,Sentinels,2,Soniqs,0,2 Split,TenZ,352,18,/ 6 /,3,92%,218
reyna,Sentinels,Interstate 95,Sentinels,2,Interstate 95,0,1 Split,TenZ,301,14,/ 6 /,5,86%,192
reyna,Sentinels,Interstate 95,Sentinels,2,Interstate 95,0,2 Icebox,TenZ,232,11,/ 10 /,10,75%,164
jett,Sentinels,The Noah Aiello,Sentinels,2,The Noah Aiello,0,1 Ascent,TenZ,378,22,/ 5 /,4,93%,209
jett,Sentinels,The Noah Aiello,Sentinels,2,The Noah Aiello,0,2 Haven,TenZ,283,15,/ 8 /,5,87%,179
jett,Sentinels,FaZe Clan,Sentinels,3,FaZe Clan,0,1 Ascent,TenZ,240,18,/ 18 /,4,,151
reyna,Sentinels,FaZe Clan,Sentinels,3,FaZe Clan,0,2 Bind,TenZ,260,18,/ 11 /,9,,166
jett,Sentinels,FaZe Clan,Sentinels,3,FaZe Clan,0,3 Haven,TenZ,235,17,/ 7 /,1,,124
reyna,Sentinels,FaZe Clan,Sentinels,2,FaZe Clan,0,1 Icebox,TenZ,337,21,/ 10 /,4,,183
jett,Sentinels,FaZe Clan,Sentinels,2,FaZe Clan,0,2 Haven,TenZ,235,18,/ 13 /,4,,142
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,1 Ascent,TenZ,285,15,/ 10 /,5,,149
jett,Sentinels,100 Thieves,Sentinels,2,100 Thieves,0,2 Haven,TenZ,236,25,/ 16 /,3,,124
jett,Sentinels,Luminosity,Sentinels,2,Luminosity,1,1 Ascent,TenZ,298,21,/ 18 /,6,,165
raze,Sentinels,Luminosity,Sentinels,2,Luminosity,1,2 Split,TenZ,284,21,/ 21 /,9,,227
reyna,Sentinels,Luminosity,Sentinels,2,Luminosity,1,3 Icebox,TenZ,427,27,/ 15 /,9,,276
jett,Cloud9,T1,T1,2,Cloud9,0,1 Ascent,TenZ,151,10,/ 19 /,8,,98
reyna,Cloud9,T1,T1,2,Cloud9,0,2 Bind,TenZ,300,23,/ 15 /,3,,190
jett,Cloud9,Spacestation Gaming,Cloud9,2,Spacestation Gaming,1,2 Split,TenZ,320,24,/ 14 /,3,,154
jett,Cloud9,Spacestation Gaming,Cloud9,2,Spacestation Gaming,1,3 Ascent,TenZ,311,23,/ 14 /,9,,149
jett,Cloud9,Equinox Esports,Cloud9,2,Equinox Esports,0,1 Ascent,TenZ,305,25,/ 16 /,5,,192
jett,Cloud9,Equinox Esports,Cloud9,2,Equinox Esports,0,2 Split,TenZ,294,27,/ 19 /,3,,176
jett,Cloud9,Spacestation Gaming,Spacestation Gaming,2,Cloud9,0,1 Bind,TenZ,247,21,/ 15 /,3,,140
jett,Cloud9,Spacestation Gaming,Spacestation Gaming,2,Cloud9,0,2 Ascent,TenZ,262,23,/ 16 /,7,,166
reyna,Cloud9,Renegades,Renegades,2,Cloud9,0,1 Split,TenZ,220,23,/ 23 /,8,,141
jett,Cloud9,Renegades,Renegades,2,Cloud9,0,2 Ascent,TenZ,232,18,/ 19 /,9,,135
jett,Cloud9,100 Thieves,Cloud9,2,100 Thieves,1,1 Bind,TenZ,357,27,/ 12 /,2,,210
jett,Cloud9,100 Thieves,Cloud9,2,100 Thieves,1,2 Ascent,TenZ,258,17,/ 15 /,1,,145
reyna,Cloud9,100 Thieves,Cloud9,2,100 Thieves,1,3 Split,TenZ,283,22,/ 13 /,6,,158
reyna,Cloud9,XSET,Cloud9,2,XSET,0,1 Bind,TenZ,183,13,/ 11 /,3,,114
jett,Cloud9,XSET,Cloud9,2,XSET,0,2 Ascent,TenZ,334,21,/ 11 /,4,,202
jett,Cloud9,Envy,Cloud9,2,Envy,1,1 Ascent,TenZ,250,23,/ 16 /,1,,147
reyna,Cloud9,Envy,Cloud9,2,Envy,1,2 Split,TenZ,403,29,/ 11 /,5,,257
reyna,Cloud9,Envy,Cloud9,2,Envy,1,3 Bind,TenZ,295,20,/ 10 /,7,,192
jett,Cloud9,TSM,Cloud9,2,TSM,1,1 Ascent,TenZ,345,23,/ 15 /,6,,202
jett,Cloud9,TSM,Cloud9,2,TSM,1,2 Bind,TenZ,280,28,/ 22 /,9,,165
reyna,Cloud9,TSM,Cloud9,2,TSM,1,3 Split,TenZ,239,19,/ 17 /,7,,146
jett,Cloud9,Slimy Boogermen,Cloud9,2,Slimy Boogermen,1,1 Ascent,TenZ,467,25,/ 7 /,3,,267
jett,Cloud9,Slimy Boogermen,Cloud9,2,Slimy Boogermen,1,2 Haven,TenZ,231,18,/ 16 /,1,,134
reyna,Cloud9,Slimy Boogermen,Cloud9,2,Slimy Boogermen,1,3 Split,TenZ,371,22,/ 8 /,9,,218
jett,Cloud9,Equinox Esports,Cloud9,2,Equinox Esports,1,1 Ascent,TenZ,373,27,/ 16 /,5,,205
jett,Cloud9,Equinox Esports,Cloud9,2,Equinox Esports,1,2 Haven,TenZ,250,21,/ 15 /,4,,149
jett,Cloud9,Equinox Esports,Cloud9,2,Equinox Esports,1,3 Split,TenZ,245,17,/ 11 /,7,,154
jett,Cloud9,DimmaDome$,Cloud9,2,DimmaDome$,0,1 Haven,TenZ,310,20,/ 8 /,2,,197
jett,Cloud9,DimmaDome$,Cloud9,2,DimmaDome$,0,2 Ascent,TenZ,348,26,/ 16 /,5,,224
jett,Cloud9,Exotic,Cloud9,2,Exotic,0,1 Haven,TenZ,194,14,/ 12 /,2,,117
jett,Cloud9,Exotic,Cloud9,2,Exotic,0,2 Ascent,TenZ,434,21,/ 3 /,3,,251
jett,Cloud9,TMU SHORTYKINGS,Cloud9,2,TMU SHORTYKINGS,0,1 Haven,TenZ,238,17,/ 11 /,4,,168
jett,Cloud9,TMU SHORTYKINGS,Cloud9,2,TMU SHORTYKINGS,0,2 Ascent,TenZ,269,19,/ 14 /,5,,165
phoenix,Cloud9,Moon Raccoons,Cloud9,2,Moon Raccoons,0,1 Haven,TenZ,255,24,/ 14 /,2,,150
jett,Cloud9,Moon Raccoons,Cloud9,2,Moon Raccoons,0,2 Ascent,TenZ,313,23,/ 15 /,5,,185
jett,Cloud9,Immortals,Immortals,2,Cloud9,1,1 Ascent,TenZ,113,9,/ 18 /,4,,80
reyna,Cloud9,Immortals,Immortals,2,Cloud9,1,2 Split,TenZ,313,28,/ 15 /,4,,168
reyna,Cloud9,Immortals,Immortals,2,Cloud9,1,3 Haven,TenZ,196,19,/ 23 /,8,,129
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,0,1 Ascent,TenZ,322,23,/ 20 /,5,,186
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,0,2 Bind,TenZ,297,22,/ 10 /,4,,195
jett,Cloud9,Complexity,Cloud9,2,Complexity,0,1 Ascent,TenZ,240,13,/ 13 /,6,,132
reyna,Cloud9,Complexity,Cloud9,2,Complexity,0,2 Haven,TenZ,306,22,/ 12 /,6,,178
reyna,Cloud9,Envy,Envy,2,Cloud9,0,1 Ascent,TenZ,282,23,/ 15 /,8,,173
raze,Cloud9,Envy,Envy,2,Cloud9,0,2 Split,TenZ,284,19,/ 16 /,3,,248
raze,Cloud9,Sentinels,Sentinels,2,Cloud9,1,1 Split,TenZ,271,23,/ 15 /,8,,157
reyna,Cloud9,Sentinels,Sentinels,2,Cloud9,1,2 Bind,TenZ,357,22,/ 14 /,3,,233
reyna,Cloud9,Sentinels,Sentinels,2,Cloud9,1,3 Haven,TenZ,312,26,/ 19 /,6,,229
reyna,Cloud9,Envy,Cloud9,2,Envy,1,1 Split,TenZ,314,18,/ 16 /,2,,181
reyna,Cloud9,Envy,Cloud9,2,Envy,1,2 Ascent,TenZ,232,20,/ 15 /,5,,137
reyna,Cloud9,Envy,Cloud9,2,Envy,1,3 Haven,TenZ,253,24,/ 19 /,9,,165
reyna,Cloud9,Dignitas,Cloud9,2,Dignitas,0,1 Haven,TenZ,307,16,/ 6 /,7,,157
reyna,Cloud9,Dignitas,Cloud9,2,Dignitas,0,2 Ascent,TenZ,194,13,/ 16 /,6,,162
reyna,Cloud9,Gen.G,Cloud9,2,Gen.G,1,1 Split,TenZ,258,18,/ 15 /,5,,132
reyna,Cloud9,Gen.G,Cloud9,2,Gen.G,1,2 Ascent,TenZ,333,23,/ 13 /,5,,201
reyna,Cloud9,Gen.G,Cloud9,2,Gen.G,1,3 Bind,TenZ,272,18,/ 9 /,4,,171
jett,Cloud9,Immortals,Immortals,2,Cloud9,1,1 Ascent,TenZ,249,27,/ 20 /,2,,147
raze,Cloud9,Immortals,Immortals,2,Cloud9,1,2 Bind,TenZ,239,15,/ 15 /,4,,138
jett,Cloud9,Immortals,Immortals,2,Cloud9,1,3 Haven,TenZ,307,27,/ 16 /,0,,162
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,1 Haven,TenZ,194,9,/ 15 /,2,,124
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,2 Ascent,TenZ,231,17,/ 17 /,4,,145
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,3 Split,TenZ,327,25,/ 15 /,1,,160
raze,Cloud9,Envy,Envy,2,Cloud9,1,1 Split,TenZ,288,23,/ 20 /,8,,180
jett,Cloud9,Envy,Envy,2,Cloud9,1,2 Ascent,TenZ,228,15,/ 15 /,5,,140
raze,Cloud9,Envy,Envy,2,Cloud9,1,3 Bind,TenZ,256,15,/ 14 /,5,,173
jett,Cloud9,TSM,Cloud9,2,TSM,1,1 Haven,TenZ,,13,/ 17 /,3,,
raze,Cloud9,TSM,Cloud9,2,TSM,1,2 Split,TenZ,222,15,/ 22 /,8,,190
raze,Cloud9,TSM,Cloud9,2,TSM,1,3 Bind,TenZ,435,28,/ 10 /,7,,244
jett,Cloud9,Renegades,Cloud9,2,Renegades,0,1 Ascent,TenZ,281,22,/ 16 /,4,,159
jett,Cloud9,Renegades,Cloud9,2,Renegades,0,2 Haven,TenZ,365,25,/ 13 /,4,,212
jett,Cloud9,Sentinels,Sentinels,3,Cloud9,1,1 Ascent,TenZ,326,25,/ 23 /,5,,
jett,Cloud9,Sentinels,Sentinels,3,Cloud9,1,2 Haven,TenZ,339,21,/ 15 /,6,,
raze,Cloud9,Sentinels,Sentinels,3,Cloud9,1,3 Bind,TenZ,268,20,/ 18 /,4,,
viper,Cloud9,Sentinels,Sentinels,3,Cloud9,1,4 Split,TenZ,246,16,/ 17 /,2,,
raze,Cloud9,Homeless,Cloud9,2,Homeless,0,1 Bind,TenZ,279,21,/ 14 /,7,,
jett,Cloud9,Homeless,Cloud9,2,Homeless,0,2 Ascent,TenZ,259,16,/ 12 /,9,,
jett,Cloud9,Immortals,Cloud9,2,Immortals,0,1 Ascent,TenZ,303,21,/ 13 /,8,,
raze,Cloud9,Immortals,Cloud9,2,Immortals,0,2 Bind,TenZ,342,23,/ 19 /,8,,
jett,Cloud9,Team Owl,Cloud9,2,Team Owl,0,1 Haven,TenZ,318,21,/ 11 /,6,,
jett,Cloud9,Team Owl,Cloud9,2,Team Owl,0,2 Ascent,TenZ,309,20,/ 7 /,1,,
jett,Cloud9,Sentinels,Sentinels,2,Cloud9,0,1 Ascent,TenZ,282,21,/ 16 /,4,,
raze,Cloud9,Sentinels,Sentinels,2,Cloud9,0,2 Bind,TenZ,190,14,/ 19 /,2,,
jett,Cloud9,Renegades,Cloud9,2,Renegades,1,1 Ascent,TenZ,340,22,/ 15 /,5,,
jett,Cloud9,Renegades,Cloud9,2,Renegades,1,2 Split,TenZ,176,9,/ 15 /,2,,
raze,Cloud9,Renegades,Cloud9,2,Renegades,1,3 Bind,TenZ,406,25,/ 16 /,5,,
jett,Cloud9,Complexity,Cloud9,2,Complexity,0,1 Ascent,TenZ,461,24,/ 11 /,2,,
jett,Cloud9,Complexity,Cloud9,2,Complexity,0,2 Haven,TenZ,439,30,/ 6 /,2,,
jett,Cloud9,Gen.G,Cloud9,2,Gen.G,0,1 Split,TenZ,253,17,/ 13 /,5,,
raze,Cloud9,Gen.G,Cloud9,2,Gen.G,0,2 Bind,TenZ,406,25,/ 11 /,9,,
jett,Cloud9,Echo 8,Cloud9,2,Echo 8,0,1 Haven,TenZ,241,19,/ 21 /,5,,
reyna,Cloud9,Echo 8,Cloud9,2,Echo 8,0,2 Ascent,TenZ,236,19,/ 14 /,6,,
jett,Cloud9,Way 2 French,Cloud9,2,Way 2 French,0,1 Haven,TenZ,391,24,/ 13 /,3,,
viper,Cloud9,Way 2 French,Cloud9,2,Way 2 French,0,2 Ascent,TenZ,370,20,/ 5 /,2,,
jett,Cloud9,Gen.G,Gen.G,2,Cloud9,0,1 Bind,TenZ,184,10,/ 15 /,5,,
jett,Cloud9,Gen.G,Gen.G,2,Cloud9,0,2 Ascent,TenZ,228,14,/ 17 /,2,,
jett,Cloud9,together we are terrific,Cloud9,2,together we are terrific,0,1 Ascent,TenZ,318,23,/ 15 /,0,,
jett,Cloud9,together we are terrific,Cloud9,2,together we are terrific,0,2 Bind,TenZ,332,20,/ 10 /,3,,
jett,Cloud9,TSM,Cloud9,2,TSM,1,1 Ascent,TenZ,455,24,/ 5 /,3,,
jett,Cloud9,TSM,Cloud9,2,TSM,1,2 Bind,TenZ,201,15,/ 16 /,1,,
jett,Cloud9,TSM,Cloud9,2,TSM,1,3 Haven,TenZ,331,27,/ 16 /,3,,
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,1 Bind,TenZ,365,30,/ 15 /,1,,
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,2 Haven,TenZ,298,26,/ 19 /,4,,
jett,Cloud9,FaZe Clan,Cloud9,2,FaZe Clan,1,3 Ascent,TenZ,368,19,/ 9 /,3,,
jett,Cloud9,Prospects,Prospects,2,Cloud9,0,1 Bind,TenZ,214,19,/ 15 /,4,,
jett,Cloud9,Prospects,Prospects,2,Cloud9,0,2 Bind,TenZ,232,15,/ 14 /,2,,
jett,Cloud9,together we are terrific,together we are terrific,2,Cloud9,0,1 Haven,TenZ,451,39,/ 16 /,2,,
viper,Cloud9,together we are terrific,together we are terrific,2,Cloud9,0,2 Split,TenZ,207,16,/ 18 /,4,,
sage,Cloud9,TSM,TSM,2,Cloud9,0,1 Ascent,TenZ,263,20,/ 18 /,6,,
jett,Cloud9,TSM,TSM,2,Cloud9,0,2 Bind,TenZ,286,17,/ 16 /,3,,
jett,Cloud9,Gen.G,Cloud9,2,Gen.G,0,1 Split,TenZ,292,24,/ 16 /,3,,
jett,Cloud9,Gen.G,Cloud9,2,Gen.G,0,2 Bind,TenZ,278,15,/ 13 /,7,,
raze,Cloud9,MIXUP,Cloud9,2,MIXUP,1,1 Bind,TenZ,460,36,/ 18 /,10,,
raze,Cloud9,MIXUP,Cloud9,2,MIXUP,1,2 Split,TenZ,377,21,/ 13 /,2,,
sage,Cloud9,MIXUP,Cloud9,2,MIXUP,1,3 Ascent,TenZ,409,34,/ 17 /,4,,
