MatchID,Date,Patch,EventID,EventName,EventStage,Team1ID,Team2ID,Team1,Team2,Team1_MapScore,Team2_MapScore
29835,2021-08-03 02:00:00,,628,Energy Vision,Group Stage: Winner's (B),4460,4464,Number One Player,ShanXi Gaming,2,0
30732,2021-08-02 06:30:00,Patch 3.02,631,LPL Winter Cup Legends 2021,Group Stage: Round 1,3279,5993,Straight Outta The Zoo,FURY,2,1
29830,2021-08-02 02:00:00,,628,Energy Vision,Group Stage: Winner's (A),1120,5944,EDward Gaming,Night Wings Gaming,2,0
29805,2021-08-01 18:20:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Main Event: Elimination (B),2428,3290,SLICK,Extenzy Gaming,2,0
27903,2021-08-01 17:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Lower Final,4987,724,Granjeros,E-Xolos LAZER,1,2
29258,2021-08-01 15:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Grand Final,106,337,TSM,FaZe Clan,3,1
30034,2021-08-01 13:30:00,Patch 3.02,627,DreamHack Beyond: Europe,Playoffs: Grand Final,4007,5679,PACT,Gydom Galva,1,2
28913,2021-08-01 09:00:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Grand Final,2304,474,Giants Gaming,Team Liquid,1,3
27305,2021-08-01 05:45:00,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Decider (D),5346,5355,Alpha Six Gaming,GochuGaru,1,2
29583,2021-08-01 04:30:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Lower Bracket Round 2,591,1352,Mindfreak,Dire Wolves,2,0
28708,2021-08-01 02:30:00,,586,Champions Tour Game Changers SEA: FSL Open 2021 #5,Playoffs: Grand Final,3412,5013,Alter Ego Celestè,Galaxy Racer Female,3,0
29059,2021-08-01 02:30:00,Patch 3.02,519,The Esports Club Gauntlet - Season 1,Main Event: Grand Final,918,799,Global Esports,Velocity Gaming,2,3
27300,2021-08-01 02:00:32,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Decider (C),5342,2554,Unknown,World Game Star,1,2
29582,2021-08-01 01:30:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Lower Bracket Round 2,4693,5663,Villains Esports,Funky Monkeys,1,2
27901,2021-07-31 20:30:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Upper Final,3322,4987,Border Monsters,Granjeros,2,1
29801,2021-07-31 19:55:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Main Event: Opening (B),2406,3290,FURIA,Extenzy Gaming,1,0
29263,2021-07-31 17:05:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Lower Round 3,637,337,Rise,FaZe Clan,1,2
27902,2021-07-31 17:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Lower Round 3,724,2364,E-Xolos LAZER,Ryze Gaming,2,1
29257,2021-07-31 15:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Final,106,642,TSM,Luminosity,2,0
30033,2021-07-31 14:30:00,Patch 3.02,627,DreamHack Beyond: Europe,Playoffs: Upper Final,673,4007,Team Finest,PACT,1,2
28927,2021-07-31 11:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Grand Final,4669,4686,Digital Athletics,Fire Flux Esports,1,3
28942,2021-07-31 11:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Grand Final,108,6267,forZe,One Breath Gaming,3,2
30031,2021-07-31 11:00:00,Patch 3.02,627,DreamHack Beyond: Europe,Playoffs: Upper Semifinals,4519,673,PURPURE,Team Finest,1,2
28919,2021-07-31 09:00:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Lower Final,474,2593,Team Liquid,Fnatic,3,2
27295,2021-07-31 04:00:05,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Decider (B),2806,3315,GoNGo Prince,Mujig 100su,2,1
27290,2021-07-31 02:00:20,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Decider (A),2542,4026,DAMWON Gaming,Noble Experience,2,0
27900,2021-07-30 19:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Lower Round 2,3125,2364,Funkboings,Ryze Gaming,1,2
29261,2021-07-30 19:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Lower Round 2,637,17,Rise,Gen.G,2,0
29255,2021-07-30 17:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Semifinals,106,14,TSM,T1,2,1
29256,2021-07-30 17:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Semifinals,642,637,Luminosity,Rise,2,0
28918,2021-07-30 13:45:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Lower Round 3,2593,4663,Fnatic,TENSTAR,2,0
28933,2021-07-30 11:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Lower Final,2908,4686,Thunderbolts Gaming,Fire Flux Esports,1,3
30021,2021-07-30 11:00:00,Patch 3.02,627,DreamHack Beyond: Europe,Playoffs: Upper Round of 16,682,673,Gambit Esports,Team Finest,1,2
29058,2021-07-30 10:00:00,,519,The Esports Club Gauntlet - Season 1,Main Event: Upper Final,918,799,Global Esports,Velocity Gaming,2,0
29580,2021-07-30 07:30:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Lower Bracket Round 1,5663,4074,Funky Monkeys,Orgless,2,0
27304,2021-07-30 05:00:48,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Elimination (D),5351,5355,DFR,GochuGaru,1,2
29581,2021-07-30 04:30:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Lower Bracket Round 1,4695,1352,Pigeons Esports,Dire Wolves,1,2
27299,2021-07-30 02:00:32,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Elimination (C),4764,2554,GOMA,World Game Star,1,2
29259,2021-07-29 20:20:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Lower Round 1,17,2815,Gen.G,Version1,2,1
29253,2021-07-29 19:15:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Quarterfinals,4940,642,Pioneers,Luminosity,1,2
27898,2021-07-29 19:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Upper Semifinals,4987,3125,Granjeros,Funkboings,2,1
29254,2021-07-29 18:15:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Quarterfinals,637,337,Rise,FaZe Clan,2,0
29252,2021-07-29 15:00:00,Patch 3.01,576,Champions Tour North America Stage 3: Challengers 2,Main Event: Upper Quarterfinals,2815,14,Version1,T1,1,2
28916,2021-07-29 14:35:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Lower Round 2,2593,3908,Fnatic,Team BDS,2,1
28917,2021-07-29 13:35:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Lower Round 2,4663,2373,TENSTAR,Rix.GG Thunder,2,0
28932,2021-07-29 13:35:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Lower Round 3,4686,2036,Fire Flux Esports,Besiktas Esports,2,0
28911,2021-07-29 11:00:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Upper Semifinals,2304,2593,Giants Gaming,Fnatic,2,1
28926,2021-07-29 11:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Upper Final,4669,2908,Digital Athletics,Thunderbolts Gaming,2,0
28941,2021-07-29 11:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Final,1341,108,Team Singularity,forZe,1,2
29574,2021-07-29 08:00:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Upper Bracket Quarterfinals,591,5663,Mindfreak,Funky Monkeys,1,0
29577,2021-07-29 06:45:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Upper Bracket Quarterfinals,4963,1352,PEACE,Dire Wolves,1,0
27294,2021-07-29 05:50:05,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Elimination (B),5337,3315,Klaus,Mujig 100su,1,2
29576,2021-07-29 04:30:00,Patch 3.02,594,Oceania Tour: Stage 03,Closed Qualifier #2: Upper Bracket Quarterfinals,4693,4695,Villains Esports,Pigeons Esports,1,0
27289,2021-07-29 02:00:20,Patch 3.01,595,Champions Tour Korea Stage 3: Challengers ,Group Stage (Main): Elimination (A),4026,4451,Noble Experience,RYU Gaming ,2,1
27896,2021-07-28 19:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Lower Round 1,2364,4989,Ryze Gaming,Pass Gaming,2,1
27895,2021-07-28 17:00:00,Patch 3.01,517,Champions Tour LATAM Stage 3: Challengers 2,Main Event: LAN: Lower Round 1,724,1991,E-Xolos LAZER,Akave Esports,2,0
28915,2021-07-28 13:50:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Lower Round 1,2373,2533,Rix.GG Thunder,Alliance,2,0
28945,2021-07-28 13:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Lower Round 2,1342,488,Axsor,tyeasy,2,1
28909,2021-07-28 11:30:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Upper Quarterfinals,2593,2533,Fnatic,Alliance,2,0
28924,2021-07-28 11:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Upper Semifinals,2036,4669,Besiktas Esports,Digital Athletics,1,2
28925,2021-07-28 11:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Upper Semifinals,1913,2908,RARE Esports,Thunderbolts Gaming,1,2
28939,2021-07-28 11:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Semifinals,1341,6267,Team Singularity,One Breath Gaming,2,0
28906,2021-07-28 08:00:00,Patch 3.01,544,Champions Tour Europe Stage 3: Challengers 2,Main Event: Upper Quarterfinals,3908,4663,Team BDS,TENSTAR,1,2
29456,2021-07-27 21:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Grand Final,3944,5038,Teal Seam,YFP Gaming,2,0
29706,2021-07-27 20:10:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Open Qualifier: Quarterfinals,3290,2536,Extenzy Gaming,KG Network,2,1
29646,2021-07-27 17:00:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Open Qualifier: Round of 16,5928,4321,Onlyfans,EndGame,2,1
29648,2021-07-27 17:00:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Open Qualifier: Round of 16,6479,5941,LilBabies,Stars Horizon Vênus,2,0
29649,2021-07-27 17:00:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Open Qualifier: Round of 16,3290,4904,Extenzy Gaming,RevoadaVLR,2,1
29652,2021-07-27 17:00:00,Patch 3.02,535,Champions Tour Brazil Stage 3: Challengers 3,Open Qualifier: Round of 16,4894,5932,Keyd Stars,Botafogo eSports,2,0
29450,2021-07-27 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Quarterfinals,5444,5890,Bait Academy,DIVIZE,2,0
29451,2021-07-27 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Quarterfinals,3944,5248,Teal Seam,Evil Geniuses,2,0
29452,2021-07-27 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Quarterfinals,2348,5821,VIRTUOSO,All Around Savants,1,2
29453,2021-07-27 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Quarterfinals,5038,5923,YFP Gaming,Big Baller Brand,2,1
28929,2021-07-27 15:05:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Lower Round 1,1453,1184,OtherSide,Futbolist,1,2
28928,2021-07-27 13:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Lower Round 1,397,4686,BBL Esports,Fire Flux Esports,1,2
28943,2021-07-27 12:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Lower Round 1,488,4621,tyeasy,Crypto Esports,2,0
28922,2021-07-27 11:45:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Upper Quarterfinals,1453,1913,OtherSide,RARE Esports,1,2
28937,2021-07-27 10:50:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Quarterfinals,1342,2100,Axsor,GMT Esports,2,1
28938,2021-07-27 10:05:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Quarterfinals,108,4518,forZe,AG,2,0
28921,2021-07-27 08:00:00,Patch 3.01,545,Champions Tour Turkey Stage 3: Challengers 2,Main Event: Upper Quarterfinals,4686,4669,Fire Flux Esports,Digital Athletics,1,2
28935,2021-07-27 08:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Quarterfinals,1341,488,Team Singularity,tyeasy,2,1
28936,2021-07-27 08:00:00,Patch 3.01,546,Champions Tour CIS Stage 3: Challengers 2,Main Event: Upper Quarterfinals,6267,4621,One Breath Gaming,Crypto Esports,2,0
29446,2021-07-26 22:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,2348,5482,VIRTUOSO,Kowareta,2,0
29448,2021-07-26 22:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,5038,4851,YFP Gaming,TLP Monkies,2,1
29442,2021-07-26 21:50:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,5444,5440,Bait Academy,Good Fellas,2,0
29444,2021-07-26 21:50:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,3944,4658,Teal Seam,Professional Malders,2,1
29447,2021-07-26 21:30:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,6422,5821,Resonate,All Around Savants,1,2
29449,2021-07-26 21:30:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Playoffs: Round of 16,4692,5923,HorizonGG,Big Baller Brand,1,2
29466,2021-07-26 19:30:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Decider (A),473,5482,Built By Gamers,Kowareta,1,2
29507,2021-07-26 19:05:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Decider (G),3337,5772,Team Basilisk,Benchwarmers,2,1
29474,2021-07-26 17:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Winner's (B),2348,5440,VIRTUOSO,Good Fellas,2,1
29489,2021-07-26 17:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Winner's (D),3944,4688,Teal Seam,Fenrir,2,1
29500,2021-07-26 17:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Winner's (F),6422,4899,Resonate,Last Round Save,2,0
29484,2021-07-26 16:45:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Winner's (C),5038,4658,YFP Gaming,Professional Malders,2,1
29462,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (A),473,4295,Built By Gamers,UYU,1,0
29472,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (B),2348,4817,VIRTUOSO,Reborn,1,0
29473,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (B),5440,5039,Good Fellas,Team Volted,1,0
29487,2021-07-26 16:00:00,Patch 3.02,624,Nerd Street Gamers Summer Championship - July Qualifier,Group Stage: Opening (D),3944,5922,Teal Seam,Rated Gaming,1,0
